x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,Label
0,0,0,0.097141117,-0.072390437,-0.037850048,0.173191965,-0.2149086,-0.049909838,0.152674794,-0.367618173,-0.063475233,0.078476846,-0.434871435,-0.072189491,0.128758729,-0.324445188,0.014456869,0.144646704,-0.423315763,-0.035688974,0.126245916,-0.333274692,-0.071140174,0.104769886,-0.259542078,-0.085273232,0.066001385,-0.333913028,0.015062809,0.079891175,-0.425807655,-0.041433759,0.071182311,-0.306121796,-0.067879934,0.056453168,-0.218353212,-0.068555873,0.006331682,-0.331917286,0.006200602,0.013556004,-0.425599754,-0.057331607,0.015684634,-0.291093498,-0.055201046,0.007521033,-0.192642689,-0.031835262,-0.060315728,-0.318151593,-0.005182921,-0.038636267,-0.401411355,-0.049265411,-0.032015145,-0.305588663,-0.038784605,-0.036961198,-0.225294739,-0.015682297,Fist
0,0,0,0.09724775,-0.076595962,-0.037315743,0.170460671,-0.216391087,-0.049824228,0.153910458,-0.368992388,-0.064328557,0.084751695,-0.443770975,-0.074342986,0.122073859,-0.328789592,0.013959732,0.137165993,-0.433170974,-0.035887403,0.12272203,-0.341156781,-0.071230469,0.104367673,-0.26388979,-0.085417179,0.05986926,-0.338133574,0.013706105,0.072417676,-0.434119016,-0.042433371,0.065009296,-0.31596753,-0.069200394,0.0507465,-0.225212753,-0.070449976,-0.000230819,-0.335193872,0.003972216,0.006989568,-0.429835707,-0.059750175,0.010151654,-0.296381235,-0.058574235,0.00295493,-0.19554168,-0.036054229,-0.066417605,-0.319170296,-0.008239313,-0.045905203,-0.403532416,-0.054490136,-0.036994904,-0.307323247,-0.045465609,-0.040265977,-0.222954303,-0.023169545,Fist
0,0,0,0.096742302,-0.077631176,-0.037653352,0.170796007,-0.217323214,-0.050113945,0.155450255,-0.36853978,-0.064437097,0.088009268,-0.445019186,-0.074024698,0.123936743,-0.330708355,0.013349659,0.139131129,-0.433777392,-0.037067494,0.123616755,-0.341497928,-0.07195977,0.105328977,-0.266320944,-0.085657215,0.061552823,-0.340560108,0.013130511,0.074644774,-0.436072648,-0.043972304,0.066207647,-0.31773144,-0.070150426,0.051797599,-0.228808254,-0.070587902,0.001062155,-0.337951958,0.003346063,0.008860648,-0.432074338,-0.061297557,0.010908455,-0.296962976,-0.059303368,0.003638864,-0.197026968,-0.035814753,-0.065241545,-0.321907312,-0.008950679,-0.045078248,-0.405009091,-0.055618124,-0.036607951,-0.307792187,-0.046192361,-0.039806396,-0.224161953,-0.02329115,Fist
0,0,0,0.096239597,-0.075789452,-0.039430789,0.171808988,-0.216644824,-0.052922155,0.156061411,-0.369852424,-0.067756003,0.08634913,-0.445255727,-0.077626279,0.124877065,-0.330716223,0.010860304,0.140667886,-0.433936298,-0.040205239,0.124810338,-0.341087252,-0.075320138,0.106143236,-0.266736507,-0.08918172,0.062348187,-0.340289652,0.011287452,0.076063454,-0.436814785,-0.046568553,0.067596585,-0.317433506,-0.072691462,0.052983373,-0.228790611,-0.072919204,0.001903415,-0.337664902,0.002104767,0.010300666,-0.431298554,-0.062964081,0.012416005,-0.295505017,-0.060643597,0.004734933,-0.195855498,-0.036805118,-0.064588338,-0.322052509,-0.009735948,-0.043676883,-0.404582918,-0.056104156,-0.03523165,-0.307311684,-0.046281188,-0.03880012,-0.224354357,-0.023158389,Fist
0,0,0,0.097201318,-0.076964617,-0.038095681,0.170576185,-0.219049841,-0.051000705,0.153046012,-0.373580277,-0.065749621,0.081353247,-0.447233558,-0.075696325,0.123332232,-0.329615623,0.01388486,0.141209751,-0.434030056,-0.036188545,0.126062691,-0.340724498,-0.071438378,0.106680363,-0.265423357,-0.085725894,0.060694605,-0.3404755,0.0136683,0.076330781,-0.438188881,-0.042687146,0.068443835,-0.318149716,-0.069095595,0.052947819,-0.2292732,-0.07003287,-1.07E-05,-0.338126868,0.003909052,0.009665668,-0.43565622,-0.059853973,0.012735397,-0.299565613,-0.057604069,0.00433284,-0.198959589,-0.034272237,-0.067066759,-0.322245389,-0.008439046,-0.044307768,-0.408112466,-0.053836884,-0.035246372,-0.311424434,-0.043647217,-0.039450347,-0.227656662,-0.020690128,Fist
0,0,0,0.096885771,-0.077194095,-0.036856324,0.171016216,-0.22067076,-0.048686002,0.153913975,-0.374500006,-0.062505476,0.081552893,-0.445426822,-0.071656928,0.125051469,-0.330802023,0.015405227,0.144634247,-0.431637704,-0.033656322,0.128380984,-0.340332389,-0.068487711,0.108421952,-0.267534643,-0.082740948,0.062430978,-0.341893792,0.014794064,0.078690827,-0.438382238,-0.041297838,0.068955988,-0.319911808,-0.067694284,0.053089231,-0.23121798,-0.068367124,0.001881361,-0.340469897,0.004795511,0.012517542,-0.432557464,-0.058238216,0.013971984,-0.298616052,-0.056743834,0.005069345,-0.199829042,-0.033895459,-0.065235853,-0.326090068,-0.007687836,-0.04252243,-0.408553153,-0.051528909,-0.03411153,-0.313672841,-0.041297235,-0.038132906,-0.232097149,-0.018534877,Fist
0,0,0,0.096882075,-0.076280236,-0.036947377,0.170313388,-0.220311254,-0.049073453,0.152725399,-0.374365956,-0.063228063,0.080789626,-0.445426226,-0.072404354,0.123762071,-0.329487115,0.01511901,0.143880904,-0.432787418,-0.035013593,0.127499074,-0.33943373,-0.070056073,0.106607944,-0.265397519,-0.08406078,0.061234117,-0.340231478,0.014241972,0.078597158,-0.438291192,-0.042583793,0.069397926,-0.31858623,-0.068778477,0.053100109,-0.230828851,-0.069027185,0.001011342,-0.338539958,0.003856937,0.012167364,-0.433487535,-0.059828732,0.014280856,-0.298447013,-0.057478934,0.005313873,-0.200048268,-0.033750478,-0.065596431,-0.324011475,-0.00905819,-0.042064518,-0.408551425,-0.053179599,-0.03346169,-0.312491238,-0.042266409,-0.037827313,-0.230607122,-0.018825449,Fist
0,0,0,0.096072465,-0.077125251,-0.036995054,0.169577271,-0.220594257,-0.048957811,0.154097706,-0.373242021,-0.062911895,0.084263027,-0.445324242,-0.071892065,0.123768777,-0.330757827,0.014189071,0.143422842,-0.43326056,-0.035602328,0.126189739,-0.340966076,-0.070019637,0.105548412,-0.267941177,-0.083745484,0.0613949,-0.341118634,0.013382958,0.077870995,-0.438791543,-0.04368277,0.067319006,-0.319353044,-0.069454138,0.051263481,-0.231558055,-0.069391024,0.001079232,-0.339056164,0.003137744,0.011686414,-0.433764875,-0.060512153,0.012757629,-0.299357682,-0.057818432,0.004181653,-0.201040864,-0.033958235,-0.065623164,-0.324167192,-0.009685546,-0.042800575,-0.40773344,-0.053899136,-0.034319609,-0.312937886,-0.043196079,-0.038033456,-0.232045382,-0.019935622,Fist
0,0,0,0.096333325,-0.077814102,-0.035765561,0.169610947,-0.220103264,-0.047567236,0.15357092,-0.373181432,-0.061516161,0.083281606,-0.445238531,-0.070662121,0.123053908,-0.326529235,0.014055295,0.143509746,-0.431184888,-0.034801433,0.128860652,-0.339330852,-0.068143526,0.109468222,-0.267460346,-0.081394198,0.060403436,-0.337254405,0.012562372,0.078314722,-0.437179148,-0.044090698,0.068786472,-0.316534996,-0.069327588,0.051805943,-0.229379535,-0.068982119,-9.31E-05,-0.335911036,0.001925015,0.01159963,-0.432651937,-0.062100592,0.013296753,-0.296422958,-0.05892987,0.004059047,-0.198728561,-0.034660837,-0.066945404,-0.321659386,-0.011001516,-0.04270196,-0.406410664,-0.055544833,-0.034315467,-0.309781522,-0.044215253,-0.03921181,-0.22878921,-0.020525748,Fist
0,0,0,0.095182389,-0.076782107,-0.036681812,0.169167519,-0.219542354,-0.048760686,0.151748747,-0.372706413,-0.062557064,0.079654455,-0.442990303,-0.071633994,0.123810887,-0.328698754,0.012625473,0.141975939,-0.429929405,-0.036433272,0.125815809,-0.338684618,-0.070488125,0.107199609,-0.266101748,-0.084322326,0.060619116,-0.338931084,0.011679665,0.076586992,-0.43719697,-0.044590518,0.06646511,-0.318313569,-0.070094943,0.050946444,-0.230439395,-0.070103913,-3.78E-05,-0.336868882,0.00162911,0.010190576,-0.430501103,-0.061732858,0.011148751,-0.295801461,-0.058846209,0.00261113,-0.198249102,-0.03508205,-0.066904485,-0.321509928,-0.010838866,-0.044136286,-0.404841781,-0.055030837,-0.036059499,-0.309276074,-0.043814137,-0.039963007,-0.228742719,-0.020288771,Fist
